"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2025,1,1,1,3,"1/1/2025 12:00:00 AM","OO",20304,"OO","N832SK",4024,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11433,1143302,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1030,1025,-5,0,0,-1,"1000-1059",13,1038,1116,7,1143,1123,-20,0,0,-2,"1100-1159",0,"",0,73,58,38,1,201,1,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","UA",19977,"UA","N16713",2456,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12266,1226603,31453,"IAH","Houston, TX","TX",48,"Texas",74,1636,1631,-5,0,0,-1,"1600-1659",26,1657,1900,12,1906,1912,6,6,0,0,"1900-1959",0,"",0,210,221,183,1,1117,5,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","UA",19977,"UA","N24211",2367,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14771,1477104,32457,"SFO","San Francisco, CA","CA",6,"California",91,700,659,-1,0,0,-1,"0700-0759",23,722,940,7,950,947,-3,0,0,-1,"0900-0959",0,"",0,350,348,318,1,2254,10,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","UA",19977,"UA","N805UA",1398,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13930,1393008,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1744,1743,-1,0,0,-1,"1700-1759",36,1819,1828,20,1832,1848,16,16,1,1,"1800-1859",0,"",0,108,125,69,1,413,2,0,0,16,0,0,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N288WN",1686,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1835,1830,-5,0,0,-1,"1800-1859",36,1906,2107,5,2100,2112,12,12,0,0,"2100-2159",0,"",0,145,162,121,1,834,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N299WN",1030,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14635,1463502,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,645,643,-2,0,0,-1,"0600-0659",8,651,904,3,925,907,-18,0,0,-2,"0900-0959",0,"",0,160,144,133,1,966,4,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N486WN",1936,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,840,838,-2,0,0,-1,"0800-0859",8,846,950,6,1015,956,-19,0,0,-2,"1000-1059",0,"",0,215,198,184,1,1290,6,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N7863A",1466,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12889,1288904,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,1710,1712,2,2,0,0,"1700-1759",27,1739,1910,8,1900,1918,18,18,1,1,"1900-1959",0,"",0,290,306,271,1,1910,8,0,0,18,0,0,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N8328A",3122,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1910,1906,-4,0,0,-1,"1900-1959",35,1941,1948,6,1940,1954,14,14,0,0,"1900-1959",0,"",0,90,108,67,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2025,1,1,1,3,"1/1/2025 12:00:00 AM","WN",19393,"WN","N8527Q",3542,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1110,1107,-3,0,0,-1,"1100-1159",8,1115,1313,6,1335,1319,-16,0,0,-2,"1300-1359",0,"",0,145,132,118,1,834,4,NA,NA,NA,NA,NA,NA,NA,NA
